YEAR,tenure,ami_group,total_hh,total_hh_se,cost_burdened_30,cost_burdened_30_se,cost_burdened_50,cost_burdened_50_se,pct_cost_burdened_30,pct_cost_burdened_50
2006,Owned or being bought (loan),0-30,75320,2937.584628847405,62715,2702.294653091912,50535,2505.2429242025637,0.8326473712161444,0.6709373340414233
2006,Owned or being bought (loan),30-50,103678,3574.8856870754944,60770,2847.9943501011426,36548,2255.173199633278,0.586141707980478,0.35251451609791856
2006,Owned or being bought (loan),50-80,194920,4852.021530493781,109521,3798.9541090399844,38831,2322.2286946622703,0.561876667350708,0.19921506258978042
2006,Owned or being bought (loan),80-100,137708,4094.7601485403466,55823,2685.147178599633,9654,1186.0531840588053,0.40537223690707874,0.07010485955790513
2006,Owned or being bought (loan),100+,751442,9209.095734516335,109727,3595.543528236587,9185,992.7418719675699,0.1460219151977132,0.01222316559361867
2006,Rented,0-30,135933,4776.596653774955,107875,4280.840413326517,84987,3781.356452230144,0.793589488939404,0.6252124208249652
2006,Rented,30-50,110375,4535.329312859315,69999,3614.523349458852,18157,1867.8701667027806,0.6341925254813137,0.16450283125707815
2006,Rented,50-80,139967,5059.296338711229,34708,2512.1242251665362,3822,766.6010885961518,0.2479727364307301,0.02730643651717905
2006,Rented,80-100,58098,3037.0774158100926,4027,690.8556101609591,965,323.12027716401946,0.06931391786292126,0.016609866088333505
2006,Rented,100+,119589,4531.7398763468345,4007,897.7075398701425,892,375.37206785468044,0.03350642617632056,0.007458879997324168
2007,Owned or being bought (loan),0-30,75165,3120.110256514076,61467,2866.174714743281,46931,2563.0537090537964,0.8177609259628816,0.6243730459655424
2007,Owned or being bought (loan),30-50,89273,3250.842488130077,53928,2612.740793349727,32053,2004.6124194998267,0.6040796209380216,0.35904472796926284
2007,Owned or being bought (loan),50-80,187997,4859.359323027887,101002,3741.1802571642775,39871,2409.627959986779,0.5372532540412879,0.2120831715399714
2007,Owned or being bought (loan),80-100,139712,4169.320202783693,61141,2873.7519289990482,11267,1225.6867869298724,0.4376216788822721,0.08064446862116353
2007,Owned or being bought (loan),100+,778481,9385.919470397293,116669,3789.5375714105876,12214,1212.1862545596423,0.14986749837182925,0.01568952871039884
2007,Rented,0-30,138125,4845.482241357972,111772,4393.891358499578,90500,3961.0551688149476,0.8092090497737556,0.6552036199095023
2007,Rented,30-50,102145,4374.57732974233,68824,3651.2611336622235,17258,1693.7910999299506,0.6737872632042684,0.1689558960301532
2007,Rented,50-80,126865,4729.559224203655,34528,2520.152118059714,3736,799.0201292057,0.2721633232175935,0.029448626492728492
2007,Rented,80-100,64433,3415.086876666304,4418,751.9983954168159,345,159.23800102221313,0.06856734902922415,0.005354399143296137
2007,Rented,100+,138401,4936.485951999634,4905,960.504564478725,813.9999999999999,379.0706596778784,0.03544049537214326,0.005881460394072296
2008,Owned or being bought (loan),0-30,72011,3002.3383719396134,60835,2744.0457999239848,47158,2479.2501049524176,0.8448014886614545,0.6548721723070087
2008,Owned or being bought (loan),30-50,93771,3434.4168984325443,54729,2766.6967775256617,35395,2327.828918131503,0.5836452634609848,0.3774621151528724
2008,Owned or being bought (loan),50-80,175427,4519.642601030961,93631,3439.295869630758,34597,2117.8789740356815,0.5337319796838571,0.19721593597336784
2008,Owned or being bought (loan),80-100,133330,4053.447814142243,57577,2706.813928824945,13248,1374.8286702704017,0.4318382959573989,0.09936248406210155
2008,Owned or being bought (loan),100+,797925,9521.531351379082,119887,3901.6832602147783,14280,1402.1431882382296,0.1502484569351756,0.0178964188363568
2008,Rented,0-30,142043,5046.561014631461,114998,4627.185757270864,91326,4118.685499209289,0.8095999098864428,0.6429461501094739
2008,Rented,30-50,110425,4392.030954845253,73777,3616.2935378582,18017,1748.2665038852338,0.6681186325560335,0.16316051618745755
2008,Rented,50-80,139411,4871.876420555846,43312,2692.964603364331,5827,908.6558132681718,0.3106784973926017,0.04179727568125901
2008,Rented,80-100,70060,3557.1268291943325,6213,1013.3504287302842,780,308.71116124796356,0.08868113045960606,0.011133314302026834
2008,Rented,100+,140336,4811.794432030155,3553,611.5710297252521,811,273.48379836922976,0.025317808687720898,0.005778987572682704
2009,Owned or being bought (loan),0-30,73484,2919.5737153499567,58679,2613.4785220011877,45199,2322.535756219391,0.7985275706276196,0.6150862772848511
2009,Owned or being bought (loan),30-50,105652,3580.1775190394246,59527,2833.673605332281,39019,2320.2236122173085,0.5634252072842918,0.3693162457880589
2009,Owned or being bought (loan),50-80,191741,4818.446664063261,99202,3649.3167030978443,34638,2169.0318358919226,0.5173750006519211,0.18064993924095524
2009,Owned or being bought (loan),80-100,135060,4128.837714268376,54054,2746.729111827463,9447,1152.835580085207,0.4002221235006664,0.06994669035984007
2009,Owned or being bought (loan),100+,766195,9283.791818892914,100659,3560.230378094386,9473,1025.4470961425345,0.13137517211675878,0.012363693315670292
2009,Rented,0-30,157128,5283.764529564731,129004,4877.349471409569,97161,4213.020290157744,0.8210121684231964,0.6183557354513518
2009,Rented,30-50,112683,4408.3909942123655,77847,3752.7564770624526,22045,2035.7756568271197,0.6908495513963951,0.19563731885022587
2009,Rented,50-80,141445,4866.797299399067,38219,2545.060610493688,4461,795.2821613062738,0.2702039662059458,0.03153876064901552
2009,Rented,80-100,65140,3280.1066358768294,5786,893.1604707307723,686,284.58201379224755,0.08882407123119435,0.0105311636475284
2009,Rented,100+,137209,4739.94248959706,4541,1102.5313315594817,335,166.68763148104247,0.03309549665109432,0.0024415308033729566
