year,ami_group,region,tenure,total_hh,total_hh_se
2007,80-100,3,Rent,54337,3135.014952064281
2007,80-100,4,Own,7133,876.0228521019725
2007,80-100,4,Rent,1881,520.03978031162
2007,100+,1,Own,41059,2381.6959224681723
2007,100+,1,Rent,6615,1082.1144121040174
2007,100+,2,Own,62112,3026.043124310037
2007,100+,2,Rent,12486,1776.1957917798675
2007,100+,3,Own,626345,8303.716434156064
2007,100+,3,Rent,103763,4164.214180003823
2007,100+,4,Own,33911,1860.6351255740524
2007,100+,4,Rent,6397,994.0703168934291
2007,NA,2,Rent,134,133.99999999999866
2007,NA,3,Own,392,325.75126863531773
2007,NA,3,Rent,345,219.8654930233069
2007,NA,4,Own,12,12.000000000000199
2007,NA,4,Rent,53,52.99999999999729
2008,0-30,1,Own,4896,846.278750437744
2008,0-30,1,Rent,6315,1073.4694271461003
2008,0-30,2,Own,5498,730.9737988614272
2008,0-30,2,Rent,8548,1250.3076047372044
2008,0-30,3,Own,67155,3000.1846776385287
2008,0-30,3,Rent,141815,5089.748423603946
2008,0-30,4,Own,3809,594.5350805912052
2008,0-30,4,Rent,6481,994.0811184998058
2008,30-50,1,Own,6608,905.7924700635127
2008,30-50,1,Rent,3580,700.1994220926202
2008,30-50,2,Own,8573,926.6258483477316
2008,30-50,2,Rent,7411,1263.1613251650383
2008,30-50,3,Own,79685,3227.35325660789
2008,30-50,3,Rent,96746,4076.801067364337
2008,30-50,4,Own,5218,720.8201324668504
2008,30-50,4,Rent,5471,872.6310308880076
2008,50-80,1,Own,9925,1035.3953780810698
2008,50-80,1,Rent,5803,1037.4704404595052
2008,50-80,2,Own,17458,1492.4502788408977
2008,50-80,2,Rent,12737,1687.8184142971147
2008,50-80,3,Own,145156,4157.011198595315
2008,50-80,3,Rent,117304,4396.723847940767
2008,50-80,4,Own,10962,1118.0547616986514
2008,50-80,4,Rent,6659,1001.8851468350267
2008,80-100,1,Own,8088,918.8205969506289
2008,80-100,1,Rent,4134,865.6164628232264
2008,80-100,2,Own,13803,1388.1912027839232
2008,80-100,2,Rent,5450,1031.3453139777444
2008,80-100,3,Own,114296,3741.106271903221
2008,80-100,3,Rent,52928,2982.7216311739744
2008,80-100,4,Own,4992,610.6281246160822
2008,80-100,4,Rent,2808,816.6242423138941
2008,100+,1,Own,39977,2283.9293007369297
2008,100+,1,Rent,11265,1627.0270409908553
2008,100+,2,Own,64219,2847.3802477503614
2008,100+,2,Rent,13150,1643.6467693797667
2008,100+,3,Own,632020,8411.825256602211
2008,100+,3,Rent,102529,4063.243280180789
2008,100+,4,Own,37748,2077.8667710118802
2008,100+,4,Rent,5020,735.1887128679789
2008,NA,1,Own,49.00000000000001,48.999999999996696
2008,NA,1,Rent,77,76.99999999999989
2008,NA,2,Own,184,135.99986819666364
2008,NA,3,Own,758,255.39148614771398
2008,NA,3,Rent,479,287.1213278300991
2008,NA,4,Own,53,52.99999999999729
2009,0-30,1,Own,4799,803.7778018206251
2009,0-30,1,Rent,4636,935.4634566633822
2009,0-30,2,Own,8156,1031.3831604272216
2009,0-30,2,Rent,8866,1268.1562547413628
2009,0-30,3,Own,60298,2674.8290764389617
2009,0-30,3,Rent,150795,5225.402505652299
2009,0-30,4,Own,3894,677.0521979512687
2009,0-30,4,Rent,6816,1131.2597198705387
2009,30-50,1,Own,5534,746.8559582989957
2009,30-50,1,Rent,6250,1092.0831522115218
2009,30-50,2,Own,12033,1301.0599533667141
2009,30-50,2,Rent,6409,1082.279937788879
2009,30-50,3,Own,79367,3149.968879520717
2009,30-50,3,Rent,96393,4048.5736421478723
2009,30-50,4,Own,7213,855.0750107852824
2009,30-50,4,Rent,5407,924.5240714324311
2009,50-80,1,Own,11837,1232.8728720746622
2009,50-80,1,Rent,6751,1223.529369972094
2009,50-80,2,Own,17755,1624.214081828309
2009,50-80,2,Rent,7544,1100.5253262729243
2009,50-80,3,Own,151957,4240.455221464287
2009,50-80,3,Rent,122121,4490.877164811415
2009,50-80,4,Own,9577,896.3809471358678
2009,50-80,4,Rent,5516,849.0139381643294
2009,80-100,1,Own,8714,1160.9065058144884
2009,80-100,1,Rent,3535,755.5906075386064
2009,80-100,2,Own,12070,1197.595640174796
2009,80-100,2,Rent,4047,792.3725376986998
2009,80-100,3,Own,108089,3685.1352627640013
2009,80-100,3,Rent,55562,3007.582036033938
2009,80-100,4,Own,5026,648.3548584218785
2009,80-100,4,Rent,3492,898.6353118705628
2009,100+,1,Own,42037,2264.9734040514027
2009,100+,1,Rent,6462,1027.7514305610382
2009,100+,2,Own,71041,3112.319756487007
2009,100+,2,Rent,14155,1660.1595649224896
2009,100+,3,Own,624367,8336.573038377719
2009,100+,3,Rent,107727,4173.248998460511
2009,100+,4,Own,35924,1867.899896537459
2009,100+,4,Rent,6307,933.5813790955502
2009,NA,1,Own,74,74.00000000000063
2009,NA,2,Own,306,179.2703446269315
2009,NA,3,Own,854,313.48449265889076
2009,NA,3,Rent,285,165.60457249096743
2009,NA,4,Own,146,105.11886623717223
2010,0-30,1,Own,4245,711.3115505808476
2010,0-30,1,Rent,7123,1253.937896743757
2010,0-30,2,Own,9917,1131.010363751102
2010,0-30,2,Rent,10678,1285.2555124628395
2010,0-30,3,Own,67691,2995.0351135679234
2010,0-30,3,Rent,148151,4949.731672762255
2010,0-30,4,Own,4541,611.6614621889873
2010,0-30,4,Rent,5295,746.3650993060013
2010,30-50,1,Own,7870,993.1151698462825
2010,30-50,1,Rent,4292,765.2034835362282
2010,30-50,2,Own,11669,1418.9812851604447
2010,30-50,2,Rent,5787,1009.1269554696381
2010,30-50,3,Own,82739,3136.905470338557
2010,30-50,3,Rent,110460,4216.507709901378
2010,30-50,4,Own,5824,763.2929926118865
2010,30-50,4,Rent,6011,990.5397302946403
2010,50-80,1,Own,12712,1325.1780764775879
2010,50-80,1,Rent,5943,968.6633855515122
2010,50-80,2,Own,18897,1650.2017720553108
