year,tenure,ami_group,region,hh_allocated,total_households,pct_hh_ten,pct_hh_ami_ten
2010,Owner,100 to 120,0,128375.35404659621,1971854.9999999998,0.657035398477915,0.09908728071095813
2010,Owner,30 to 50,0,108664.3980560546,1971854.9999999998,0.657035398477915,0.08387326207146738
2010,Owner,50 to 80,0,192657.34465978434,1971854.9999999998,0.657035398477915,0.1487037175718544
2010,Owner,80 to 100,0,133618.01961669876,1971854.9999999998,0.657035398477915,0.10313386331925123
2010,Owner,Greater than 120,0,646071.3073863029,1971854.9999999998,0.657035398477915,0.4986739820093971
2010,Owner,Less than 30,0,86192.11190023224,1971854.9999999998,0.657035398477915,0.06652789431707178
2010,Renter,100 to 120,0,49008.30244789466,1971854.9999999998,0.342964601522085,0.0724678515851269
2010,Renter,30 to 50,0,128040.51039780969,1971854.9999999998,0.342964601522085,0.18933160793025955
2010,Renter,50 to 80,0,149416.96807001566,1971854.9999999998,0.342964601522085,0.22094065955273046
2010,Renter,80 to 100,0,66638.67308021733,1971854.9999999998,0.342964601522085,0.09853761973782539
2010,Renter,Greater than 120,0,109913.89114619592,1971854.9999999998,0.342964601522085,0.16252804428790202
2010,Renter,Less than 30,0,173258.1191921976,1971854.9999999998,0.342964601522085,0.2561942169061556
2010,Owner,100 to 120,1,9896.432880515618,128516,0.7276251859196827,0.1058312097136861
2010,Owner,30 to 50,1,10028.963014377789,128516,0.7276251859196827,0.10724847031247871
2010,Owner,50 to 80,1,16199.260208230045,128516,0.7276251859196827,0.17323285319088047
2010,Owner,80 to 100,1,9092.331779871096,128516,0.7276251859196827,0.09723225358062713
2010,Owner,Greater than 120,1,42884.967258304416,128516,0.7276251859196827,0.4586064512612257
2010,Owner,Less than 30,1,5409.523252354983,128516,0.7276251859196827,0.05784876194110192
2010,Renter,100 to 120,1,3715.9410609816564,128516,0.27237481408031733,0.10615603043430777
2010,Renter,30 to 50,1,5469.416678235003,128516,0.27237481408031733,0.15624886235392624
2010,Renter,50 to 80,1,7573.332553296976,128516,0.27237481408031733,0.21635297972259637
2010,Renter,80 to 100,1,2044.0224491819536,128516,0.27237481408031733,0.05839309767374131
2010,Renter,Greater than 120,1,7124.769023301934,128516,0.27237481408031733,0.20353853434781025
2010,Renter,Less than 30,1,9077.039841348538,128516,0.27237481408031733,0.25931049546761803
2010,Owner,100 to 120,2,9510.469598369815,128909,0.7197910877658462,0.10249726031946335
2010,Owner,30 to 50,2,8988.957536317623,128909,0.7197910877658462,0.09687676418822436
2010,Owner,50 to 80,2,14556.888384933936,128909,0.7197910877658462,0.15688407000298873
2010,Owner,80 to 100,2,8831.81062249392,128909,0.7197910877658462,0.09518314349284362
2010,Owner,Greater than 120,2,43260.08032603694,128909,0.7197910877658462,0.46622721083917246
2010,Owner,Less than 30,2,7639.342864655229,128909,0.7197910877658462,0.08233155115730748
2010,Renter,100 to 120,2,3115.9767961611783,128909,0.2802089122341538,0.0862638885926937
2010,Renter,30 to 50,2,4457.888187734175,128909,0.2802089122341538,0.12341387473075857
2010,Renter,50 to 80,2,8510.583842766055,128909,0.2802089122341538,0.2356102450363609
2010,Renter,80 to 100,2,3922.5102215210677,128909,0.2802089122341538,0.10859226717280501
2010,Renter,Greater than 120,2,7888.929139551699,128909,0.2802089122341538,0.21840011942590262
2010,Renter,Less than 30,2,8225.562479458358,128909,0.2802089122341538,0.22771960504147917
2010,Owner,100 to 120,3,102601.84687471118,1634863,0.6443722570669944,0.09739507118006764
2010,Owner,30 to 50,3,84468.5546269861,1634863,0.6443722570669944,0.08018199614299974
2010,Owner,50 to 80,3,154762.8817138632,1634863,0.6443722570669944,0.14690906976518814
2010,Owner,80 to 100,3,109938.0611575708,1634863,0.6443722570669944,0.10435899175299693
2010,Owner,Greater than 120,3,532583.0217998385,1634863,0.6443722570669944,0.5055558247487619
2010,Owner,Less than 30,3,69105.99513234769,1634863,0.6443722570669944,0.06559904640998555
2010,Renter,100 to 120,3,41245.532040330014,1634863,0.35562774293300564,0.07094142560641126
2010,Renter,30 to 50,3,112769.0272313768,1634863,0.35562774293300564,0.19396029485617158
2010,Renter,50 to 80,3,127845.73367853388,1634863,0.35562774293300564,0.21989190480036805
2010,Renter,80 to 100,3,58192.53414100768,1634863,0.35562774293300564,0.10008990373978487
2010,Renter,Greater than 120,3,90101.90146984991,1634863,0.35562774293300564,0.15497332738657554
2010,Renter,Less than 30,3,151247.9101335841,1634863,0.35562774293300564,0.2601431436106887
2010,Owner,100 to 120,4,6366.604692999608,79567,0.7015363986814905,0.11405772171253822
2010,Owner,30 to 50,4,5177.922878373093,79567,0.7015363986814905,0.09276248725790011
2010,Owner,50 to 80,4,7138.3143527571365,79567,0.7015363986814905,0.12788290010193679
2010,Owner,80 to 100,4,5755.8160567629475,79567,0.7015363986814905,0.10311544342507645
2010,Owner,Greater than 120,4,27343.23800212302,79567,0.7015363986814905,0.48985410295616716
2010,Owner,Less than 30,4,4037.2506508743504,79567,0.7015363986814905,0.07232734454638125
2010,Renter,100 to 120,4,930.8525504218113,79567,0.2984636013185094,0.03919733443150762
2010,Renter,30 to 50,4,5344.178300463713,79567,0.2984636013185094,0.22503837370371757
2010,Renter,50 to 80,4,5487.317995418738,79567,0.2984636013185094,0.2310658530193553
2010,Renter,80 to 100,4,2479.6062685066204,79567,0.2984636013185094,0.10441391187151361
2010,Renter,Greater than 120,4,4798.291513492374,79567,0.2984636013185094,0.2020515892329003
2010,Renter,Less than 30,4,4707.606737806581,79567,0.2984636013185094,0.1982329377410056
2011,Owner,100 to 120,0,124703.104463014,2008676,0.6451495709214745,0.09622921919948653
2011,Owner,30 to 50,0,99336.43011298499,2008676,0.6451495709214745,0.07665460414156774
2011,Owner,50 to 80,0,193690.59176092118,2008676,0.6451495709214745,0.14946455817359416
2011,Owner,80 to 100,0,132874.39470461878,2008676,0.6451495709214745,0.10253473086407566
2011,Owner,Greater than 120,0,661752.0482797971,2008676,0.6451495709214745,0.5106519455456922
2011,Owner,Less than 30,0,83539.89019892778,2008676,0.6451495709214745,0.06446494207558368
2011,Renter,100 to 120,0,56897.43621214494,2008676,0.3548504290785255,0.07982473258681094
2011,Renter,30 to 50,0,129721.45026127993,2008676,0.3548504290785255,0.18199379035763413
2011,Renter,50 to 80,0,158587.65584653796,2008676,0.3548504290785255,0.22249187419128297
2011,Renter,80 to 100,0,69408.44003619513,2008676,0.3548504290785255,0.09737714972778228
2011,Renter,Greater than 120,0,124867.9676708239,2008676,0.3548504290785255,0.17518455648541975
2011,Renter,Less than 30,0,173296.5904527544,2008676,0.3548504290785255,0.24312789665106987
2011,Owner,100 to 120,1,7744.737619328899,131050,0.696051904498771,0.08490398171340971
2011,Owner,30 to 50,1,7299.006307044453,131050,0.696051904498771,0.08001752008650542
2011,Owner,50 to 80,1,14325.82934776395,131050,0.696051904498771,0.1570511504400553
2011,Owner,80 to 100,1,9772.378098740495,131050,0.696051904498771,0.10713259146717037
2011,Owner,Greater than 120,1,44560.64575751223,131050,0.696051904498771,0.4885092870146046
2011,Owner,Less than 30,1,7515.004954173891,131050,0.696051904498771,0.08238546927825456
2011,Renter,100 to 120,1,2822.96497780149,131050,0.30394809550122903,0.07087107795505125
2011,Renter,30 to 50,1,6514.918732493665,131050,0.30394809550122903,0.163558286054603
2011,Renter,50 to 80,1,11012.185362321603,131050,0.30394809550122903,0.2764630285553083
2011,Renter,80 to 100,1,4468.550046683562,131050,0.30394809550122903,0.11218380716547033
2011,Renter,Greater than 120,1,6526.155656332768,131050,0.30394809550122903,0.1638403911857819
2011,Renter,Less than 30,1,8487.623139802978,131050,0.30394809550122903,0.21308340908378523
2011,Owner,100 to 120,2,7339.835357225323,131004,0.6987252736842728,0.0801854017319979
2011,Owner,30 to 50,2,8528.884031284968,131004,0.6987252736842728,0.09317538597115596
2011,Owner,50 to 80,2,16693.219545408792,131004,0.6987252736842728,0.18236819360414866
2011,Owner,80 to 100,2,9123.020550743342,131004,0.6987252736842728,0.09966614130526887
2011,Owner,Greater than 120,2,43532.52239504082,131004,0.6987252736842728,0.47557916857322013
2011,Owner,Less than 30,2,6318.323874031225,131004,0.6987252736842728,0.06902570881420848
2011,Renter,100 to 120,2,4539.792491370582,131004,0.30127472631572716,0.11502407389210965
2011,Renter,30 to 50,2,6720.878513194276,131004,0.30127472631572716,0.17028593888179228
2011,Renter,50 to 80,2,7558.56446752201,131004,0.30127472631572716,0.19151026825194065
2011,Renter,80 to 100,2,3717.6192399007696,131004,0.30127472631572716,0.09419278765844552
2011,Renter,Greater than 120,2,9503.857405905304,131004,0.30127472631572716,0.24079787756706297
2011,Renter,Less than 30,2,7427.482128372578,131004,0.30127472631572716,0.18818905374864892
2011,Owner,100 to 120,3,103847.36793463396,1662520,0.6339187191766845,0.09853602501731878
