year,ami_group,region,tenure,total_hh,total_hh_se
2005,80-100,4,2,3326,756.668041974232
2005,100+,1,1,40444,2315.8823884045737
2005,100+,1,2,7073,1115.073285609096
2005,100+,2,1,59807,3141.0817913327014
2005,100+,2,2,14165,1881.3779706131106
2005,100+,3,1,599926,8684.28836382326
2005,100+,3,2,110435,4880.904165812042
2005,100+,4,1,37278,2046.4085323349466
2005,100+,4,2,9176,1305.555379289562
2005,NA,2,1,153,110.98188774565463
2005,NA,3,1,352,159.74923270266666
2005,NA,3,2,400,335.01031524152916
2005,NA,4,1,20,19.999999999999492
2006,0-30,1,1,3701,732.1233268903827
2006,0-30,1,2,4327,838.729722107246
2006,0-30,2,1,7401,916.7261697964407
2006,0-30,2,2,8803,1214.994598615646
2006,0-30,3,1,57595,2628.397506218166
2006,0-30,3,2,120387,4580.332033720854
2006,0-30,4,1,4428,652.7544639174878
2006,0-30,4,2,4187,686.2589365246884
2006,30-50,1,1,5396,744.5851017118772
2006,30-50,1,2,3542,791.8875380330668
2006,30-50,2,1,9651,1108.5253100108473
2006,30-50,2,2,7627,1262.364433656878
2006,30-50,3,1,71739,2958.1563113838815
2006,30-50,3,2,96902,4104.067333116942
2006,30-50,4,1,6541,710.0482419793856
2006,30-50,4,2,4331,828.6286569894146
2006,50-80,1,1,11597,1186.669259707447
2006,50-80,1,2,9274,1447.2436615002746
2006,50-80,2,1,16376,1464.036923554009
2006,50-80,2,2,7534,1283.253552384407
2006,50-80,3,1,165901,4560.176389635174
2006,50-80,3,2,112158,4572.732776504839
2006,50-80,4,1,9170,940.3805241056904
2006,50-80,4,2,4409,671.0318522962488
2006,80-100,1,1,7726,897.2205289693047
2006,80-100,1,2,3038,713.5697658766779
2006,80-100,2,1,11441,1366.9211603518322
2006,80-100,2,2,5025,959.2193858636456
2006,80-100,3,1,114538,3633.1117623540126
2006,80-100,3,2,50638,2828.7510295995644
2006,80-100,4,1,6995,772.0396800906176
2006,80-100,4,2,4480,962.801360676898
2006,100+,1,1,40521,2319.2741735465133
2006,100+,1,2,7759,1208.4105036774731
2006,100+,2,1,68428,3200.5037299164405
2006,100+,2,2,12620,1678.4723872698019
2006,100+,3,1,614367,8248.03071652407
2006,100+,3,2,103501,4196.8323708933
2006,100+,4,1,35297,1823.043660646561
2006,100+,4,2,7196,1018.6450765455618
2006,NA,1,1,91,90.99999999999463
2006,NA,3,1,84,84.00000000000007
2006,NA,3,2,148,104.68992158918554
2006,NA,4,1,45,31.827631410640294
2006,NA,4,2,19,19.000000000000984
2007,0-30,1,1,3377,664.3768867232025
2007,0-30,1,2,7748,1102.8104138821407
2007,0-30,2,1,8765,1047.198361979476
2007,0-30,2,2,9768,1343.7217776262264
2007,0-30,3,1,59791,2877.9825281621247
2007,0-30,3,2,118159,4551.5847513745675
2007,0-30,4,1,4702,603.308901465795
2007,0-30,4,2,6277,919.9225094314926
2007,30-50,1,1,4136,705.1646366870856
2007,30-50,1,2,4178,802.9027277354974
2007,30-50,2,1,9696,1229.7350417074283
2007,30-50,2,2,9720,1633.2499969213077
2007,30-50,3,1,71984,2936.814287190317
2007,30-50,3,2,86603,3906.4620031167406
2007,30-50,4,1,7635,793.9004650096185
2007,30-50,4,2,3971,612.921220449046
2007,50-80,1,1,11157,1161.246919488669
2007,50-80,1,2,6169,1204.4222850991216
2007,50-80,2,1,15858,1359.6354528799318
2007,50-80,2,2,11617,1741.5298120734335
2007,50-80,3,1,159618,4477.831988515637
2007,50-80,3,2,112431,4400.398771342161
2007,50-80,4,1,8961,914.0937996859286
2007,50-80,4,2,4723,811.3241087530579
2007,80-100,1,1,11709,1385.4414585655643
2007,80-100,1,2,3030,763.7853354332779
2007,80-100,2,1,11176,1238.067430490304
2007,80-100,2,2,5320,1248.4303544497507
2007,80-100,3,1,121509,3819.5790090050905
2007,80-100,3,2,47829,2872.455282217024
2007,80-100,4,1,6176,699.6099598904041
2007,80-100,4,2,1943,531.3967589940528
2007,100+,1,1,40900,2370.2596581048483
2007,100+,1,2,6536,1073.687492487286
2007,100+,2,1,63069,3056.7914096434474
2007,100+,2,2,10652,1497.7327918483845
2007,100+,3,1,621592,8289.623920037617
2007,100+,3,2,118483,4533.364214302938
2007,100+,4,1,35674,1955.7199305025438
2007,100+,4,2,6283,987.6565816760881
2007,NA,2,2,134,134.00000000001518
2007,NA,3,1,392,325.7513034861742
2007,NA,3,2,345,219.86556977940228
2007,NA,4,1,12,11.999999999999845
2007,NA,4,2,53,53.000000000001435
2008,0-30,1,1,4817,817.7879701687195
2008,0-30,1,2,5744,1035.2066155141538
2008,0-30,2,1,4573,640.1085351724533
2008,0-30,2,2,9369,1398.3832341654045
2008,0-30,3,1,61574,2928.901030210615
2008,0-30,3,2,125098,4725.525582916087
2008,0-30,4,1,3715,584.7580805329671
2008,0-30,4,2,6609,1000.7256212666198
2008,30-50,1,1,6137,853.3852769072614
2008,30-50,1,2,5143,941.6408767153454
2008,30-50,2,1,9790,1069.1174803453466
2008,30-50,2,2,8203,1278.7717204360908
2008,30-50,3,1,75383,3026.9090223939247
2008,30-50,3,2,96225,4081.4370096234725
2008,30-50,4,1,5210,735.4309015125439
2008,30-50,4,2,5094,851.7870466142268
2008,50-80,1,1,10298,1103.2222709953337
2008,50-80,1,2,4717,838.1449735748387
2008,50-80,2,1,17719,1572.4410055548133
2008,50-80,2,2,12046,1649.3149061480822
2008,50-80,3,1,151807,4290.079403655778
2008,50-80,3,2,122374,4559.4248177135305
2008,50-80,4,1,9656,1023.862709817636
2008,50-80,4,2,6180,949.5118584425153
2008,80-100,1,1,8431,1011.6723463264701
2008,80-100,1,2,4365,1069.228577062855
2008,80-100,2,1,13571,1292.8024544342886
2008,80-100,2,2,4737,926.131164517075
2008,80-100,3,1,118866,3773.2661730480127
2008,80-100,3,2,57364,3184.4119946166707
2008,80-100,4,1,5886,720.7417330250488
2008,80-100,4,2,3912,921.5873074584201
2008,100+,1,1,39811,2243.3265335146875
2008,100+,1,2,11128,1520.3652178549503
2008,100+,2,1,63898,2821.462518995903
2008,100+,2,2,12941,1613.8057277089806
2008,100+,3,1,630682,8442.843748449326
2008,100+,3,2,110261,4168.363803346913
2008,100+,4,1,38262,2088.9375794984408
2008,100+,4,2,4644,694.9984589491241
2008,NA,1,1,49.00000000000001,49.000000000001734
2008,NA,1,2,77,77.00000000000189
2008,NA,2,1,184,135.9998951617324
2008,NA,3,1,758,255.39196230255286
2008,NA,3,2,479,287.12145006820236
2008,NA,4,1,53,53.000000000001435
2009,0-30,1,1,4341,724.8123831614407
2009,0-30,1,2,4636,935.4687186997746
2009,0-30,2,1,7970,1001.5427775449265
2009,0-30,2,2,9806,1366.2221444462064
2009,0-30,3,1,54495,2511.306717742061
2009,0-30,3,2,132549,4828.344112697297
2009,0-30,4,1,3654,675.3488425939164
2009,0-30,4,2,7484,1212.273378784587
2009,30-50,1,1,5992,823.7248348450022
2009,30-50,1,2,6250,1092.0914313320834
2009,30-50,2,1,11416,1244.8690403672877
2009,30-50,2,2,5624,953.0272640585227
2009,30-50,3,1,78898,3107.824540088522
2009,30-50,3,2,102309,4257.607115715613
2009,30-50,4,1,5842,659.2506702332365
2009,30-50,4,2,4152,749.495189020408
2009,50-80,1,1,11737,1228.8393126361764
2009,50-80,1,2,6653,1219.6079648734735
2009,50-80,2,1,18207,1652.4396045945732
2009,50-80,2,2,8540,1193.2909308060277
2009,50-80,3,1,150714,4220.716889088926
2009,50-80,3,2,115777,4376.727700261568
2009,50-80,4,1,10567,1022.1123417690496
2009,50-80,4,2,5364,862.7282106558738
2009,80-100,1,1,8814,1165.2194192286752
2009,80-100,1,2,3447,750.0546551933601
2009,80-100,2,1,14132,1373.2402308539952
2009,80-100,2,2,4329,786.0174015931058
2009,80-100,3,1,118016,3783.011968853206
2009,80-100,3,2,60600,3151.629844808188
2009,80-100,4,1,6136,776.8740065538868
2009,80-100,4,2,3638,740.8214683251243
2009,100+,1,1,42037,2265.1591279534136
2009,100+,1,2,6648,1036.4525769773684
2009,100+,2,1,69330,3057.66050769321
2009,100+,2,2,12722,1599.470623426919
2009,100+,3,1,621955,8381.957322262548
2009,100+,3,2,121363,4453.020701161557
2009,100+,4,1,35435,1834.190323524856
2009,100+,4,2,6900,1100.0162990372967
2009,NA,1,1,74,73.99999999999787
2009,NA,2,1,306,179.27042653022247
2009,NA,3,1,854,313.48497326670946
2009,NA,3,2,285,165.60465005471676
2009,NA,4,1,146,105.11888955400252
2010,0-30,1,1,4241,726.6956647134706
2010,0-30,1,2,7102,1253.1852522076317
2010,0-30,2,1,9489,1141.4956228963006
2010,0-30,2,2,9795,1236.582274586738
2010,0-30,3,1,63543,2894.019437952284
2010,0-30,3,2,131598,4651.372390772271
2010,0-30,4,1,4265,596.8935341935932
2010,0-30,4,2,5169,741.6915922971277
2010,30-50,1,1,7227,939.6561470719299
2010,30-50,1,2,3482,655.3169373425643
2010,30-50,2,1,11230,1361.833071118614
2010,30-50,2,2,6194,1051.9243453029615
2010,30-50,3,1,85167,3228.759565797227
2010,30-50,3,2,112817,4319.884561886294
2010,30-50,4,1,5132,645.5833626592173
2010,30-50,4,2,5684,958.7302679466727
2010,50-80,1,1,12435,1309.1910142523943
2010,50-80,1,2,6767,1046.447332297361
2010,50-80,2,1,19583,1694.5578691709009
2010,50-80,2,2,11895,1450.5137803594669
2010,50-80,3,1,153469,4279.261756901304
2010,50-80,3,2,129161,4590.07350919123
2010,50-80,4,1,9034,921.8319056240364
2010,50-80,4,2,6805,959.6649095366763
2010,80-100,1,1,7304,959.9899318326115
2010,80-100,1,2,2261,673.1718581517737
2010,80-100,2,1,10907,1102.8102297723508
2010,80-100,2,2,4193,836.4279162750971
2010,80-100,3,1,106667,3572.80613013986
2010,80-100,3,2,58333,3058.891165580264
2010,80-100,4,1,7472,1007.4364664767212
2010,80-100,4,2,2451,515.4341281302072
2010,100+,1,1,42174,2409.612564351271
2010,100+,1,2,7857,1199.291067046018
2010,100+,2,1,69243,3037.3213415663085
2010,100+,2,2,14814,1600.687145501963
2010,100+,3,1,623044,8453.09261254415
